X;time;peak;backend
[1, 16, 1, 1];0.004670624330174178;0.10690688641689236;jir
[1, 16, 1, 4];0.0046710853348486125;0.10689633542695437;jir
[1, 16, 2, 1];0.004659873258788139;0.10715353766762317;jir
[1, 16, 2, 4];0.004660328151658177;0.10714307845129802;jir
[1, 16, 4, 1];0.004657587502151728;0.10720612431462133;jir
[1, 16, 4, 4];0.0046582347713410854;0.1071912278517796;jir
[1, 16, 8, 1];0.004642732557840645;0.10754914235123238;jir
[1, 16, 8, 4];0.004641886684112251;0.10756874063103047;jir
[1, 16, 16, 1];0.004637586884200573;0.10766847440918141;jir
[1, 16, 16, 4];0.004637303703930229;0.10767504926164684;jir
[1, 16, 32, 1];0.004636624129489064;0.1076908308323297;jir
[1, 16, 32, 4];0.004635839315596968;0.10770906210704284;jir
[1, 16, 64, 1];0.0046403834712691605;0.10760358661163374;jir
[1, 16, 64, 4];0.004636737052351236;0.10768820813522396;jir
[1, 16, 128, 1];0.004652387578971684;0.10732594743799694;jir
[1, 16, 128, 4];0.00465164880733937;0.10734299287041507;jir
[1, 16, 256, 1];0.0046457378775812685;0.1074795689983846;jir
[1, 16, 256, 4];0.004645743756555021;0.10747943298796342;jir
[1, 16, 512, 1];0.0046669982257299125;0.10698994955881122;jir
[1, 16, 512, 4];0.0046669936273247;0.10699005497638428;jir
[1, 32, 1, 1];0.0029277626308612525;0.1705472634627557;jir
[1, 32, 1, 4];0.0029285350756254047;0.17050227908070106;jir
[1, 32, 2, 1];0.002924774686107412;0.17072149425173438;jir
[1, 32, 2, 4];0.0029303657938726246;0.1703957593983603;jir
[1, 32, 4, 1];0.002930344606284052;0.17039699142930875;jir
[1, 32, 4, 4];0.002926736604422331;0.17060705223948883;jir
[1, 32, 8, 1];0.002901683881646022;0.17208004907779864;jir
[1, 32, 8, 4];0.0029019348439760506;0.17206516741697928;jir
[1, 32, 16, 1];0.0028921773773618042;0.17264567127531363;jir
[1, 32, 16, 4];0.0028913763526361436;0.17269350090197005;jir
[1, 32, 32, 1];0.0028903402271680534;0.17275540784731036;jir
[1, 32, 32, 4];0.002887241280404851;0.17294083045663905;jir
[1, 32, 64, 1];0.0028896114963572472;0.17279897501493496;jir
[1, 32, 64, 4];0.002887228794861585;0.17294157832262907;jir
[1, 32, 128, 1];0.0028766848554369062;0.17357546267822535;jir
[1, 32, 128, 4];0.002868402109015733;0.17407667606730448;jir
[1, 32, 256, 1];0.0028869721572846174;0.1729569519754389;jir
[1, 32, 256, 4];0.002867280738428235;0.17414475606445826;jir
[1, 32, 512, 1];0.0029063693655189127;0.17180263138121613;jir
[1, 32, 512, 4];0.0029085838759783655;0.1716718258963555;jir
[1, 64, 1, 1];0.002352397161303088;0.21226088560883577;jir
[1, 64, 1, 4];0.0023519876995123923;0.21229783849015146;jir
[1, 64, 2, 1];0.0023518579255323857;0.21230955294583714;jir
[1, 64, 2, 4];0.0023518290545325726;0.21231215925306496;jir
[1, 64, 4, 1];0.0023573910002596676;0.21181123738357543;jir
[1, 64, 4, 4];0.00235784548567608;0.2117704098064471;jir
[1, 64, 8, 1];0.002340666891541332;0.21332463263625723;jir
[1, 64, 8, 4];0.0023421705118380487;0.21318768306499403;jir
[1, 64, 16, 1];0.002335940982447937;0.2137562158092894;jir
[1, 64, 16, 4];0.0023362901411019266;0.2137242699343825;jir
[1, 64, 32, 1];0.002335434081032872;0.21380261117927765;jir
[1, 64, 32, 4];0.0023360146151389927;0.2137494780751597;jir
[1, 64, 64, 1];0.0023385427775792778;0.21351839681922496;jir
[1, 64, 64, 4];0.0023388593981508166;0.21348949199626366;jir
[1, 64, 128, 1];0.0023345711233559996;0.21388164179985147;jir
[1, 64, 128, 4];0.002334836666705087;0.21385731682317036;jir
[1, 64, 256, 1];0.0023558320535812527;0.211951401205724;jir
[1, 64, 256, 4];0.0023669814981985837;0.21095302398515534;jir
[1, 128, 1, 1];0.0021284837275743484;0.23459042617673165;jir
[1, 128, 1, 4];0.0021285932161845267;0.23457835953124584;jir
[1, 128, 2, 1];0.002128197898855433;0.234621932965184;jir
[1, 128, 2, 4];0.0021284484828356653;0.2345943107331749;jir
[1, 128, 4, 1];0.0021312357566785067;0.2342875034811208;jir
[1, 128, 4, 4];0.0021311985328793526;0.23429159557805093;jir
[1, 128, 8, 1];0.0021324256667867303;0.23415676923187367;jir
[1, 128, 8, 4];0.0021323289547581226;0.23416738943947069;jir
[1, 128, 16, 1];0.002136893948772922;0.23366714340158648;jir
[1, 128, 16, 4];0.0021373446215875447;0.2336178731865084;jir
[1, 128, 32, 1];0.0021386317384894937;0.23347727230241783;jir
[1, 128, 32, 4];0.0021311147429514676;0.23430080731850858;jir
[1, 128, 64, 1];0.002149735199054703;0.2322713536911291;jir
[1, 128, 64, 4];0.002149550535250455;0.23229130768201559;jir
[1, 128, 128, 1];0.002181315765483305;0.228908584746451;jir
[1, 128, 128, 4];0.0021798756788484752;0.22905980813808283;jir
[1, 256, 1, 1];0.0020406550029292703;0.24468707549544153;jir
[1, 256, 1, 4];0.0020403834932949394;0.24471963550125;jir
[1, 256, 2, 1];0.0020637856505345553;0.24194465381255653;jir
[1, 256, 2, 4];0.002063673280645162;0.24195782803652077;jir
[1, 256, 4, 1];0.0020500305108726025;0.24356803575053462;jir
[1, 256, 4, 4];0.002050031296676025;0.24356794238776674;jir
[1, 256, 8, 1];0.0020511030161287636;0.24344067598531505;jir
[1, 256, 8, 4];0.0020511523471213877;0.2434348211446406;jir
[1, 256, 16, 1];0.002053320175036788;0.24317781066606367;jir
[1, 256, 16, 4];0.0020539586839731783;0.2431022145956784;jir
[1, 256, 32, 1];0.00204596811090596;0.2440516555953571;jir
[1, 256, 32, 4];0.002061440667603165;0.2422198769089318;jir
[1, 256, 64, 1];0.002086257707560435;0.23933855484507077;jir
[1, 256, 64, 4];0.002086341381072998;0.23932895608153315;jir
[2, 16, 1, 1];0.004014898790046573;0.1243672458194426;jir
[2, 16, 1, 4];0.004014350124634802;0.1243842438400486;jir
[2, 16, 2, 1];0.004052457050420344;0.12321460747131478;jir
[2, 16, 2, 4];0.004013456637039781;0.12441193462854787;jir
[2, 16, 4, 1];0.004030935815535486;0.1238724523564692;jir
[2, 16, 4, 4];0.004013805941212922;0.12440110759590332;jir
[2, 16, 8, 1];0.004214508167933673;0.11847690996568097;jir
[2, 16, 8, 4];0.00401148060336709;0.12447321927539477;jir
[2, 16, 16, 1];0.0042313054436817765;0.11800658482537504;jir
[2, 16, 16, 4];0.004013087076600641;0.12442339157635836;jir
[2, 16, 32, 1];0.004274407750926912;0.11681662907653723;jir
[2, 16, 32, 4];0.004016958060674369;0.12430348966055133;jir
[2, 16, 64, 1];0.004439160169567913;0.11248116438441248;jir
[2, 16, 64, 4];0.00402368773939088;0.12409559019047882;jir
[2, 16, 128, 1];0.004506370343733579;0.11080356621293821;jir
[2, 16, 128, 4];0.004023223300464451;0.12410991572460364;jir
[2, 16, 256, 1];0.004582428373396397;0.10896447561750282;jir
[2, 16, 256, 4];0.004035516059957445;0.1237318591583477;jir
[2, 16, 512, 1];0.004679730220232159;0.10669886537543476;jir
[2, 16, 512, 4];0.0034931498812511563;0.14294316640746618;jir
[2, 32, 1, 1];0.0025635663187131286;0.19477627753065377;jir
[2, 32, 1, 4];0.002563078887760639;0.1948133189135517;jir
[2, 32, 2, 1];0.002567983785411343;0.1944412217859556;jir
[2, 32, 2, 4];0.002561540313763544;0.19493033237812912;jir
[2, 32, 4, 1];0.0025716855889186263;0.19416133407344938;jir
[2, 32, 4, 4];0.002559076849138364;0.19511797972383105;jir
[2, 32, 8, 1];0.0026338501193095;0.18957870878879354;jir
[2, 32, 8, 4];0.0025548423582222313;0.19544137553338295;jir
[2, 32, 16, 1];0.0026630819484125823;0.18749776177918295;jir
[2, 32, 16, 4];0.0025545067037455738;0.19546705594069042;jir
[2, 32, 32, 1];0.002857622952433303;0.17473330564367343;jir
[2, 32, 32, 4];0.002561131783295423;0.1949614260455682;jir
[2, 32, 64, 1];0.0028242277330718935;0.17679944818713175;jir
[2, 32, 64, 4];0.00256419598008506;0.1947284484649029;jir
[2, 32, 128, 1];0.0028458937304094434;0.1754534610433491;jir
[2, 32, 128, 4];0.0025778196286410093;0.19369931829758794;jir
[2, 32, 256, 1];0.002907625923398882;0.1717283852587957;jir
[2, 32, 256, 4];0.002611237927339971;0.1912203784779415;jir
[2, 64, 1, 1];0.0020801857754122466;0.24003716911435483;jir
[2, 64, 1, 4];0.002080049307551235;0.2400529174713353;jir
[2, 64, 2, 1];0.0020460830128286034;0.2440379503818949;jir
[2, 64, 2, 4];0.0020708371594082564;0.24112079624096877;jir
[2, 64, 4, 1];0.0020794927258975804;0.2401171682610144;jir
[2, 64, 4, 4];0.00207209779182449;0.24097410205830583;jir
[2, 64, 8, 1];0.002078218647511676;0.24026437514635932;jir
[2, 64, 8, 4];0.0020730030082631856;0.24086887610464652;jir
[2, 64, 16, 1];0.002105312596540898;0.2371723351593051;jir
[2, 64, 16, 4];0.0020783843065146357;0.24024522471459905;jir
[2, 64, 32, 1];0.0022106351680122316;0.22587259625064554;jir
[2, 64, 32, 4];0.0020806756510864943;0.239980654601868;jir
[2, 64, 64, 1];0.002302513341419399;0.21685950555843236;jir
[2, 64, 64, 4];0.002100352809065953;0.23773239553213826;jir
[2, 64, 128, 1];0.0023438477946911007;0.21303512365132532;jir
[2, 64, 128, 4];0.002132839523255825;0.23411133342075321;jir
[2, 128, 1, 1];0.001811087626265362;0.27570278628182937;jir
[2, 128, 1, 4];0.0018112948455382138;0.27567124479589333;jir
[2, 128, 2, 1];0.0018198697071056813;0.27437233710320164;jir
[2, 128, 2, 4];0.001805538428016007;0.27655013984420057;jir
[2, 128, 4, 1];0.0017647702479735017;0.2829387594987391;jir
[2, 128, 4, 4];0.001820002420572564;0.2743523300396603;jir
[2, 128, 8, 1];0.0017714175337459892;0.2818770251788106;jir
[2, 128, 8, 4];0.0018198648176621646;0.2743730742612761;jir
[2, 128, 16, 1];0.0017977966635953635;0.2777410342743238;jir
[2, 128, 16, 4];0.0018225205421913415;0.2739732657068083;jir
[2, 128, 32, 1];0.0019746150937862694;0.2528704993358827;jir
[2, 128, 32, 4];0.0018135076097678393;0.27533488256265254;jir
[2, 128, 64, 1];0.002155405964003876;0.23166025941320392;jir
[2, 128, 64, 4];0.0018536893476266414;0.2693665502265567;jir
[2, 256, 1, 1];0.0037486228975467384;0.13320142313826305;jir
[2, 256, 1, 4];0.0037482588086277246;0.1332143617224531;jir
[2, 256, 2, 1];0.0020394882594700903;0.24482705523965165;jir
[2, 256, 2, 4];0.0024072306987363845;0.20742586284896222;jir
[2, 256, 4, 1];0.002105519932229072;0.23714898022042596;jir
[2, 256, 4, 4];0.002856222097761929;0.1748190048502048;jir
[2, 256, 8, 1];0.0019368345674593002;0.25780307371161026;jir
[2, 256, 8, 4];0.0030175207648426294;0.1654742232694944;jir
[2, 256, 16, 1];0.0018520252488087863;0.26960858394509807;jir
[2, 256, 16, 4];0.0028824934852309525;0.17322568370762437;jir
[2, 256, 32, 1];0.002051664749160409;0.24337402344424908;jir
[2, 256, 32, 4];0.0027020910347346216;0.184790926117315;jir
[4, 16, 1, 1];0.003709711425472051;0.13459858395814908;jir
[4, 16, 1, 4];0.0037095933221280575;0.13460286921032685;jir
[4, 16, 2, 1];0.0036054571392014623;0.13849059508512;jir
[4, 16, 2, 4];0.003731661126948893;0.13380687253618975;jir
[4, 16, 4, 1];0.00402268412290141;0.12412655070758148;jir
[4, 16, 4, 4];0.0037295189686119556;0.13388372842831828;jir
[4, 16, 8, 1];0.004101209226064384;0.12174992233718973;jir
[4, 16, 8, 4];0.0037305354489944875;0.13384724836122114;jir
[4, 16, 16, 1];0.00400892342440784;0.12455261722432623;jir
[4, 16, 16, 4];0.0037327567115426064;0.1337675994842841;jir
[4, 16, 32, 1];0.004031830874737352;0.12384495289486377;jir
[4, 16, 32, 4];0.0037388174096122384;0.13355075952042564;jir
[4, 16, 64, 1];0.00438292050966993;0.11392447197257242;jir
[4, 16, 64, 4];0.0037390918005257845;0.133540958981454;jir
[4, 16, 128, 1];0.0044692764058709145;0.11172320962426655;jir
[4, 16, 128, 4];0.003757347585633397;0.13289212493172395;jir
[4, 16, 256, 1];0.004581682151183486;0.10898222274823796;jir
[4, 16, 256, 4];0.0037709177704527974;0.132413893687729;jir
[4, 32, 1, 1];0.002437856834148988;0.20482002788986953;jir
[4, 32, 1, 4];0.0024377511581405997;0.2048289067957058;jir
[4, 32, 2, 1];0.002410751854768023;0.20712289561214609;jir
[4, 32, 2, 4];0.0024661860370542854;0.20246724993963372;jir
[4, 32, 4, 1];0.002526884665712714;0.19760375751897238;jir
[4, 32, 4, 4];0.0024698984052520245;0.20216293257250587;jir
[4, 32, 8, 1];0.0025063558132387698;0.19922227407794493;jir
[4, 32, 8, 4];0.0024683614319656044;0.2022888132570946;jir
[4, 32, 16, 1];0.0025792948435992002;0.19358853292830255;jir
[4, 32, 16, 4];0.002470820560120046;0.2020874817140282;jir
[4, 32, 32, 1];0.002655728632817045;0.18801691505364865;jir
[4, 32, 32, 4];0.0024763144610915333;0.20163913453132642;jir
[4, 32, 64, 1];0.002811103855492547;0.17762485145694348;jir
[4, 32, 64, 4];0.0024866774620022625;0.20079882187851286;jir
[4, 32, 128, 1];0.002808387973345816;0.17779662550222003;jir
[4, 32, 128, 4];0.002518276800401509;0.19827919817324843;jir
[4, 64, 1, 1];0.0019698577816598117;0.253481195145557;jir
[4, 64, 1, 4];0.0019687928433995694;0.2536183054687012;jir
[4, 64, 2, 1];0.001994023157749325;0.2504092807655728;jir
[4, 64, 2, 4];0.0020118278334848583;0.24819315870433445;jir
[4, 64, 4, 1];0.0019400799355935305;0.2573718204085992;jir
[4, 64, 4, 4];0.0020079514652024955;0.24867229781948427;jir
[4, 64, 8, 1];0.0019100696372333914;0.2614155500032655;jir
[4, 64, 8, 4];0.0020136436505708843;0.2479693488072445;jir
[4, 64, 16, 1];0.001989405893255025;0.2509904622555051;jir
[4, 64, 16, 4];0.002013364661252126;0.24800370959693555;jir
[4, 64, 32, 1];0.0021110796369612217;0.23652442855289443;jir
[4, 64, 32, 4];0.002033725962974131;0.24552074067623836;jir
[4, 64, 64, 1];0.0022923449869267642;0.21782144817186588;jir
[4, 64, 64, 4];0.0020529311732389033;0.2432238894663605;jir
[4, 128, 1, 1];0.0024924918834585696;0.20033040351130377;jir
[4, 128, 1, 4];0.0024925699399318546;0.20032413003245797;jir
[4, 128, 2, 1];0.0020341214549262077;0.24547300435411748;jir
[4, 128, 2, 4];0.00246780103771016;0.20233474949229252;jir
[4, 128, 4, 1];0.0017796555766835809;0.2805722136933933;jir
[4, 128, 4, 4];0.002476039167959243;0.20166155334830466;jir
[4, 128, 8, 1];0.0017117779643740505;0.2916978224710895;jir
[4, 128, 8, 4];0.0024590130778960884;0.20305784839059113;jir
[4, 128, 16, 1];0.0017432925524190068;0.2864246187876164;jir
